name,,club,age,height,weight,wingspan,length,bmi,off_pos,def_pos,headshot,logo
Jared McCain,J. McCain,Duke,20.3,"6'2""",203 lbs,"6'3.5""",1.5,26.1,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4683778.png,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Jaxson Robinson,J. Robinson,BYU,21.5,"6'4.75""",189 lbs,"6'11.25""",6.5,22.6,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702528.png,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png
Jaylen Wells,J. Wells,Washington St,20.8,"6'6.5""",206 lbs,"6'7.25""",0.75,23.5,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5112087.png,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png
Jaylon Tyson,J. Tyson,Cal,21.5,"6'5.5""",218 lbs,"6'8""",2.5,25.5,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4683747.png,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png
Jesse Edwards,J. Edwards,West Virginia,24.2,"6'11.5""",236 lbs,"7'5""",5.5,23.8,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431816.png,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png
Jonathan Mogbo,J. Mogbo,San Francisco,22.6,"6'6.25""",217 lbs,"7'2""",7.75,24.9,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5107897.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2539.png
JT Toppin,J. Toppin,New Mexico,19.4,"6'7""",221 lbs,"7'0.5""",5.5,24.9,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5143604.png,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png
Keshad Johnson,K. Johnson,Arizona,23,"6'6.25""",224 lbs,"6'10.25""",4,25.7,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431786.png,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png
KJ Simpson,K. Simpson,Colorado,21.9,"6'0.25""",187 lbs,"6'4.5""",4.25,25.2,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4683834.png,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png
Kyshawn George,K. George,Miami,20.5,"6'7""",209 lbs,"6'10.25""",3.25,23.5,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5174563.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
Mark Sears,M. Sears,Alabama,22.3,"5'10.25""",192 lbs,"6'2""",3.75,27.3,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4703530.png,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
