Rank,Hoop Intellect | 5/22,No Ceilings | 6/7,Box and One | 6/11,Yahoo | 6/5,Global Scouting | 6/3,The Ringer | 6/9,Athletic | 5/17,NBA Big Board | 5/31,ESPN |6/6,Bleacher Report | 6/2
50,Jalen Wilson,Ricky Council IV,Adama Sanogo,Azuolas Tubelis,Emoni Bates,Mouhamed Gueye,Mouhamed Gueye,Drew Timme,Emoni Bates,Emoni Bates
51,Emoni Bates,Jalen Wilson,Jalen Wilson,Nikola Djurisic,Toumani Camara,Emoni Bates,,,,Mojave King
52,,D'Moi Hodge,Isaiah Wong,Adam Flagler,Nikola Djurisic,Jalen Pickett,,,,Ricky Council IV
53,,Jordan Miller,Seth Lundy,Jordan Walsh,Sir'Jabari Rice,Adama Sanogo,,,,Tosan Evbuowan
54,,Mouhamed Gueye,Colin Castleton,Jordan Miller,Charles Bediako,Nikola Djurisic,,,,Jordan Miller
55,,Keyontae Johnson,Jalen Slawson,Mouhamed Gueye,Jazian Gortman,Oscar Tshiebwe,,,,Jaylen Clark
56,,Toumani Camara,Emoni Bates,Oscar Tshiebwe,Adam Flagler,Isaiah Wong,,,,Sir'Jabari Rice
57,,Azuolas Tubelis,Toumani Camara,Toumani Camara,D'Moi Hodge,Ricky Council IV,,,,Oscar Tshiebwe
58,,Jalen Slawson,Jaylen Clark,,Jordan Miller,,,,,
59,,Colin Castleton,Mike Miles Jr.,,Craig Porter Jr.,,,,,
60,,Jazian Gortman,Adam Flagler,,,,,,,
61,,,Terquavion Smith,,,,,,,
62,,,Justyn Mutts,,,,,,,
63,,,Ricky Council IV,,,,,,,
64,,,Sir'Jabari Rice,,,,,,,
65,,,Landers Nolley,,,,,,,
66,,,Omari Moore,,,,,,,
67,,,Craig Porter Jr.,,,,,,,
68,,,Juan Nunez,,,,,,,
69,,,Keyontae Johnson,,,,,,,
